product_id,product_name,description,avg_rating,num_users_rated,user_id,user_rating
1,Paddle Board,"The Paddle Board, a top-tier item in the Athletic Apparel category, is known for its supports intensive use without compromising on quality, enhances user confidence through innovative design, recognized for its award-winning design and functionality, and compatible with accessories to enhance usability. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.19,2310,1,3
2,E-Scooter,"The E-Scooter, a top-tier item in the Fitness Equipment category, is known for its engineered with advanced ergonomics to enhance user comfort, designed with user feedback to meet high expectations, guaranteed to improve training efficiency, and optimized for versatility across various sports activities. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.6,2253,2,5
3,Fitness Tracker,"The Fitness Tracker, a top-tier item in the Athletic Apparel category, is known for its supports intensive use without compromising on quality, recommended by professional athletes worldwide, constructed to withstand extreme weather conditions, and designed for both professional athletes and sports enthusiasts. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.06,4442,3,4
4,Punching Bag,"The Punching Bag, a top-tier item in the Athletic Apparel category, is known for its recognized for its award-winning design and functionality, crafted with a precision manufacturing process, includes a sleek and modern design that stands out, and ideal for competitive and recreational sports activities. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",1.92,1226,4,5
5,Swimming Cap,"The Swimming Cap, a top-tier item in the Water Sports category, is known for its offers a lightweight design for easy transport and handling, delivers enhanced safety with reinforced materials, provides unmatched durability in high-stress conditions, and designed with user feedback to meet high expectations. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.31,4388,5,1
6,Horse Saddle,"The Horse Saddle, a top-tier item in the Team Sports category, is known for its available in various sizes and styles to suit individual preferences, delivers exceptional results in every training session, constructed to withstand extreme weather conditions, and crafted with high-quality materials for lasting durability. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.26,3905,6,1
7,Volleyball,"The Volleyball, a top-tier item in the Athletic Apparel category, is known for its ideal for competitive and recreational sports activities, includes a comprehensive guide for optimal use, perfect for group activities and individual sessions, and provides a premium experience with cutting-edge features. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",1.89,3983,7,2
8,Billiard Cue,"The Billiard Cue, a top-tier item in the Outdoor Gear category, is known for its provides a premium experience with cutting-edge features, ideal for competitive and recreational sports activities, ensures a secure grip for better control, and engineered with advanced ergonomics to enhance user comfort. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.2,4402,8,5
9,Portable Cooler,"The Portable Cooler, a top-tier item in the Athletic Apparel category, is known for its enhances endurance with its user-friendly design, recognized for its award-winning design and functionality, includes a comprehensive guide for optimal use, and provides a premium experience with cutting-edge features. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.99,4314,9,1
10,Yoga Mat,"The Yoga Mat, a top-tier item in the Team Sports category, is known for its supported by a trusted warranty for peace of mind, recognized for its award-winning design and functionality, includes a comprehensive guide for optimal use, and crafted with eco-friendly materials to minimize environmental impact. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.19,58,10,2
11,Tennis Racket,"The Tennis Racket, a top-tier item in the Fitness Equipment category, is known for its guaranteed to improve training efficiency, offering adjustable settings for customized performance, provides exceptional value for both beginners and experts, and ensures a secure grip for better control. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.97,1903,11,3
12,Kayak,"The Kayak, a top-tier item in the Fitness Equipment category, is known for its easy to assemble and maintain for long-term use, perfectly balanced to provide superior performance in any environment, crafted with high-quality materials for lasting durability, and delivers exceptional results in every training session. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.75,4174,12,5
13,Sandbag Trainer,"The Sandbag Trainer, a top-tier item in the Outdoor Gear category, is known for its recognized for its award-winning design and functionality, enhances user confidence through innovative design, supports intensive use without compromising on quality, and perfectly balanced to provide superior performance in any environment. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.03,3652,13,2
14,Sandbag Trainer,"The Sandbag Trainer, a top-tier item in the Fitness Equipment category, is known for its perfect for group activities and individual sessions, tailored to meet the demands of intense training sessions, guaranteed to improve training efficiency, and recognized for its award-winning design and functionality. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.51,1030,14,2
15,Rowing Machine,"The Rowing Machine, a top-tier item in the Athletic Apparel category, is known for its delivers exceptional results in every training session, optimized for versatility across various sports activities, recommended by professional athletes worldwide, and provides unmatched durability in high-stress conditions. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.16,4218,15,3
16,Swimming Cap,"The Swimming Cap, a top-tier item in the Team Sports category, is known for its guaranteed to improve training efficiency, delivers enhanced safety with reinforced materials, includes a comprehensive guide for optimal use, and easy to assemble and maintain for long-term use. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.37,2409,16,4
17,Jump Rope,"The Jump Rope, a top-tier item in the Water Sports category, is known for its includes a sleek and modern design that stands out, easy to assemble and maintain for long-term use, delivers exceptional results in every training session, and constructed to withstand extreme weather conditions. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.15,101,17,5
18,Fitness Tracker,"The Fitness Tracker, a top-tier item in the Water Sports category, is known for its crafted with eco-friendly materials to minimize environmental impact, supported by a trusted warranty for peace of mind, includes a sleek and modern design that stands out, and provides exceptional value for both beginners and experts. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",1.24,742,18,1
19,Billiard Cue,"The Billiard Cue, a top-tier item in the Outdoor Gear category, is known for its easy to assemble and maintain for long-term use, tested rigorously to ensure top-notch performance, engineered for seamless integration with other equipment, and guaranteed to improve training efficiency. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.93,1278,19,4
20,Cricket Bat,"The Cricket Bat, a top-tier item in the Fitness Equipment category, is known for its delivers exceptional results in every training session, ideal for competitive and recreational sports activities, crafted with high-quality materials for lasting durability, and enhances user confidence through innovative design. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.96,3017,20,4
21,Hiking Backpack,"The Hiking Backpack, a top-tier item in the Fitness Equipment category, is known for its perfectly balanced to provide superior performance in any environment, ensures a secure grip for better control, delivers exceptional results in every training session, and offering adjustable settings for customized performance. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",1.84,363,21,3
22,Gymnastics Rings,"The Gymnastics Rings, a top-tier item in the Outdoor Gear category, is known for its compatible with accessories to enhance usability, guaranteed to improve training efficiency, optimized for versatility across various sports activities, and supported by a trusted warranty for peace of mind. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",1.64,2532,22,1
23,Cycling Helmet,"The Cycling Helmet, a top-tier item in the Fitness Equipment category, is known for its crafted with anti-slip materials for safety during use, provides unmatched durability in high-stress conditions, designed with user feedback to meet high expectations, and includes a sleek and modern design that stands out. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.78,3602,23,4
24,Rowing Machine,"The Rowing Machine, a top-tier item in the Fitness Equipment category, is known for its engineered with advanced ergonomics to enhance user comfort, offers a lightweight design for easy transport and handling, includes a comprehensive guide for optimal use, and tailored to meet the demands of intense training sessions. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.18,4711,24,5
25,Table Tennis Paddle,"The Table Tennis Paddle, a top-tier item in the Fitness Equipment category, is known for its provides exceptional value for both beginners and experts, optimized for versatility across various sports activities, delivers exceptional results in every training session, and crafted with anti-slip materials for safety during use. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",1.63,3706,25,1
26,Tennis Racket,"The Tennis Racket, a top-tier item in the Water Sports category, is known for its includes a sleek and modern design that stands out, features innovative technology for unmatched efficiency, perfect for group activities and individual sessions, and delivers enhanced safety with reinforced materials. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.53,4611,26,5
27,Fitness Tracker,"The Fitness Tracker, a top-tier item in the Team Sports category, is known for its easy to assemble and maintain for long-term use, includes a comprehensive guide for optimal use, constructed to withstand extreme weather conditions, and designed with user feedback to meet high expectations. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.7,1757,27,5
28,Foam Roller,"The Foam Roller, a top-tier item in the Fitness Equipment category, is known for its features innovative technology for unmatched efficiency, crafted with high-quality materials for lasting durability, offering adjustable settings for customized performance, and enhances endurance with its user-friendly design. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.1,2364,28,1
29,Jump Rope,"The Jump Rope, a top-tier item in the Athletic Apparel category, is known for its supports intensive use without compromising on quality, tested rigorously to ensure top-notch performance, recognized for its award-winning design and functionality, and provides exceptional value for both beginners and experts. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.94,4759,29,4
30,Ab Roller,"The Ab Roller, a top-tier item in the Outdoor Gear category, is known for its crafted with eco-friendly materials to minimize environmental impact, enhances endurance with its user-friendly design, crafted with high-quality materials for lasting durability, and delivers exceptional results in every training session. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.75,2252,30,5
31,Crossbow,"The Crossbow, a top-tier item in the Team Sports category, is known for its delivers enhanced safety with reinforced materials, guaranteed to improve training efficiency, designed for both professional athletes and sports enthusiasts, and enhances user confidence through innovative design. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.73,1515,31,4
32,Tennis Racket,"The Tennis Racket, a top-tier item in the Water Sports category, is known for its available in various sizes and styles to suit individual preferences, supported by a trusted warranty for peace of mind, easy to assemble and maintain for long-term use, and provides a premium experience with cutting-edge features. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.8,2839,32,2
33,Tennis Ball Pack,"The Tennis Ball Pack, a top-tier item in the Outdoor Gear category, is known for its supports intensive use without compromising on quality, delivers exceptional results in every training session, available in various sizes and styles to suit individual preferences, and provides a premium experience with cutting-edge features. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.02,504,33,4
34,Sandbag Trainer,"The Sandbag Trainer, a top-tier item in the Fitness Equipment category, is known for its compatible with accessories to enhance usability, includes a comprehensive guide for optimal use, engineered for seamless integration with other equipment, and backed by positive reviews from satisfied customers. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.8,2769,34,5
35,E-Scooter,"The E-Scooter, a top-tier item in the Team Sports category, is known for its features innovative technology for unmatched efficiency, engineered with advanced ergonomics to enhance user comfort, guaranteed to improve training efficiency, and crafted with eco-friendly materials to minimize environmental impact. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.72,4554,35,1
36,Fishing Rod,"The Fishing Rod, a top-tier item in the Fitness Equipment category, is known for its engineered with advanced ergonomics to enhance user comfort, tested rigorously to ensure top-notch performance, recommended by professional athletes worldwide, and offers a lightweight design for easy transport and handling. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.29,1218,36,4
37,Weight Plates,"The Weight Plates, a top-tier item in the Team Sports category, is known for its engineered with advanced ergonomics to enhance user comfort, includes a sleek and modern design that stands out, offering adjustable settings for customized performance, and provides unmatched durability in high-stress conditions. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.51,4602,37,5
38,Bowling Ball,"The Bowling Ball, a top-tier item in the Outdoor Gear category, is known for its crafted with eco-friendly materials to minimize environmental impact, designed for both professional athletes and sports enthusiasts, optimized for versatility across various sports activities, and recognized for its award-winning design and functionality. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",4.06,982,38,1
39,Snorkel Mask,"The Snorkel Mask, a top-tier item in the Outdoor Gear category, is known for its available in various sizes and styles to suit individual preferences, compatible with accessories to enhance usability, recommended by professional athletes worldwide, and crafted with eco-friendly materials to minimize environmental impact. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.36,4934,39,4
40,Baseball Glove,"The Baseball Glove, a top-tier item in the Water Sports category, is known for its provides a premium experience with cutting-edge features, enhances user confidence through innovative design, tailored to meet the demands of intense training sessions, and recommended by professional athletes worldwide. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.79,1892,40,1
41,Hoverboard,"The Hoverboard, a top-tier item in the Outdoor Gear category, is known for its provides unmatched durability in high-stress conditions, optimized for versatility across various sports activities, perfectly balanced to provide superior performance in any environment, and crafted with eco-friendly materials to minimize environmental impact. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.35,1716,41,4
42,Trekking Poles,"The Trekking Poles, a top-tier item in the Athletic Apparel category, is known for its tested rigorously to ensure top-notch performance, available in various sizes and styles to suit individual preferences, perfectly balanced to provide superior performance in any environment, and features innovative technology for unmatched efficiency. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",1.22,4881,42,1
43,Boxing Gloves,"The Boxing Gloves, a top-tier item in the Team Sports category, is known for its perfect for group activities and individual sessions, delivers exceptional results in every training session, crafted with eco-friendly materials to minimize environmental impact, and recommended by professional athletes worldwide. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.39,91,43,3
44,Snorkel Mask,"The Snorkel Mask, a top-tier item in the Outdoor Gear category, is known for its provides unmatched durability in high-stress conditions, optimized for versatility across various sports activities, constructed to withstand extreme weather conditions, and designed for both professional athletes and sports enthusiasts. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",2.88,1924,44,4
45,Kayak Paddle,"The Kayak Paddle, a top-tier item in the Outdoor Gear category, is known for its crafted with a precision manufacturing process, perfectly balanced to provide superior performance in any environment, tailored to meet the demands of intense training sessions, and ideal for competitive and recreational sports activities. This product is specifically designed to meet the needs of individuals striving for excellence in their sports performance. Whether you're a beginner or a professional, the {product_name} offers unparalleled functionality and reliability, making it a must-have for any enthusiast aiming to elevate their game.",3.86,1113,45,1
